cow_id,longitude,latitude,activity,headup,temp1,temp2,pressure,speed,heart_rate,accuracy,altitude,datetime
1,16.607517899856315,49.92408981550884,0,0,21.0,22.0,1012.5,0.1,78,1,394.1,2024-10-29 15:15:35
1,16.6068556303788,49.92588241525846,0,0,20.8,20.4,1085.9,0.2,78,4,393.1,2024-11-03 08:35:34
1,16.60685673998179,49.926202482109936,1,0,21.8,21.2,1065.6,2.46,64,8,394.2,2024-11-06 13:43:36
1,16.607419994466213,49.92658109629565,0,0,21.7,21.0,1091.3,1.15,69,8,393.6,2024-10-30 00:43:55
1,16.606460206436275,49.925057951368444,0,1,21.7,20.2,1030.0,0.03,74,6,393.6,2024-10-30 06:42:15
1,16.605206763246624,49.92470870591066,1,1,20.8,21.3,1031.7,2.28,70,9,394.3,2024-11-07 21:30:18
1,16.604571782632597,49.92548936983101,1,1,21.5,20.4,1059.7,1.75,61,8,390.6,2024-10-30 23:04:43
1,16.604059538763373,49.92486757420132,1,1,21.2,20.6,1053.0,2.44,69,6,391.7,2024-11-03 10:50:02
1,16.60681112236758,49.92558719447267,1,1,20.5,21.4,1015.1,0.41,78,0,393.6,2024-10-28 06:19:51
1,16.604505862095696,49.92490096309495,0,0,21.2,21.3,1026.6,0.98,77,2,392.7,2024-11-04 05:01:54
1,16.605828949984858,49.92549598259301,0,1,20.7,20.9,1033.3,1.39,80,5,394.8,2024-10-29 18:26:28
1,16.603945362454446,49.9247577719239,1,0,21.6,21.1,1067.9,2.84,64,1,393.7,2024-10-29 09:00:07
1,16.606479966378572,49.92572696360467,1,0,21.4,20.6,1091.6,2.18,71,0,390.5,2024-10-31 21:05:26
1,16.604161142918898,49.92410274789247,1,0,20.6,20.3,1011.2,2.21,61,1,391.7,2024-10-31 15:59:05
1,16.60487938279906,49.92488130290845,1,1,20.5,20.7,1071.8,1.92,74,9,393.2,2024-10-29 11:38:32
1,16.605860859585285,49.92608327318816,1,0,21.6,20.2,1017.7,1.76,75,0,390.2,2024-10-28 17:17:13
1,16.606316900993207,49.9260933518401,1,1,21.6,20.7,1076.1,1.71,75,6,392.0,2024-11-01 21:55:44
1,16.60440426313993,49.923855758338014,1,0,20.6,20.3,1066.9,1.42,61,0,393.8,2024-11-02 16:25:44
1,16.60440837366822,49.92463539395325,1,1,21.8,20.7,1086.7,2.32,61,5,392.7,2024-11-05 23:41:06
1,16.606818168141086,49.92498071143026,1,1,21.0,21.2,1075.5,0.97,72,9,392.4,2024-11-06 00:34:59
1,16.605958987073887,49.926746642499985,0,0,20.7,20.7,1007.1,2.0,70,9,390.2,2024-10-30 08:52:02
1,16.60618446835326,49.92422225395013,0,1,21.6,21.8,1020.2,1.69,61,6,391.7,2024-11-07 04:06:29
1,16.60685146503275,49.92467756482863,0,0,20.2,21.7,1024.1,1.21,63,9,393.3,2024-11-02 12:50:31
1,16.605815014219555,49.924021269267136,0,0,20.8,22.0,1019.5,0.92,71,1,391.1,2024-11-03 03:01:46
1,16.604457947734243,49.92426136297749,0,1,20.3,20.3,1090.6,0.59,71,3,394.7,2024-10-31 16:40:32
1,16.60729048162689,49.92689317009262,0,0,21.0,20.9,1091.9,2.58,64,1,392.9,2024-10-30 22:14:21
1,16.605945210776813,49.9260556690377,0,1,20.9,20.5,1039.8,0.01,65,6,394.6,2024-10-28 03:43:25
1,16.604880613140356,49.92607323511946,0,1,21.4,21.9,1024.0,0.76,75,9,393.6,2024-10-31 08:40:39
1,16.606317936339767,49.92514839302782,0,1,21.9,20.3,1069.2,2.31,73,2,390.1,2024-10-29 16:03:09
1,16.60733221284853,49.92492407770278,0,0,21.7,20.9,1011.4,2.87,73,0,393.5,2024-11-07 15:33:22
1,16.6078639113457,49.92671356500729,1,0,21.8,22.0,1051.2,0.35,73,8,393.3,2024-11-05 21:49:37
1,16.606982438478767,49.9258169007448,0,1,20.3,20.8,1085.4,0.45,76,4,391.5,2024-11-05 14:13:20
